acid,epoxide,tg
O=C(O)c1cccc(NC(=O)c2ccc3c(c2)C(=O)N(c2cccc(C(=O)O)c2)C3=O)c1,O=C(CNc1ccc(C(=O)N2CCc3ccccc32)cc1)N(CC1CO1)CC1CO1,458.3914
CC(C)C(NC(=O)C(=O)Nc1ccc(C(=O)O)c2ccccc12)C(=O)O,O=C(Cn1c(=O)n(CC2CO2)c(=O)n(CC2CO2)c1=O)Nc1ccc2ccccc2c1,505.4758
O=C(O)c1cc(NC(=O)c2ccc3c(c2)C(=O)N(Cc2ccccc2)C3=O)cc(C(=O)O)c1,CC1(NC(=O)Nc2ccc(C(=O)N(CC3CO3)CC3CO3)cc2)CC1,513.8782
COc1ccc(NC(=O)NC(=O)Cn2c(=O)n(CCC(=O)O)c(=O)n(CCC(=O)O)c2=O)cc1,COC(=O)c1ccc(C(=O)Nc2ccc(C(=O)N(CC3CO3)CC3CO3)cc2)cc1,496.7020
O=C(O)c1ccc(C(=O)c2ccc3c(c2)C(=O)N(c2ccc(O)c(C(=O)O)c2)C3=O)cc1,Cc1cccc(N2CCN(C(=O)Nc3ccc(C(=O)N(CC4CO4)CC4CO4)cc3)CC2)c1,476.2882
Cc1cc(N2C(=O)c3ccc(C(=O)O)cc3C2=O)ccc1N1C(=O)c2ccc(C(=O)O)cc2C1=O,Nc1ccc(C(=O)Nc2cccc3ccc(OCC4CO4)cc23)c(OCC2CO2)c1,472.5738
O=C(O)CCN(CCC(=O)O)C(=O)C(=O)Nc1ccc2c(c1)C(=O)CCC2,NC(=O)c1ccc(NC(=O)Cn2c(=O)n(CC3CO3)c(=O)n(CC3CO3)c2=O)cc1,455.9407
O=C(Nc1cc(NC(=O)c2ccccc2)c(C(=O)O)cc1C(=O)O)c1ccccc1,COC(=O)c1ccc2c(c1)CN(C(=O)Nc1ccc(C(=O)N(CC3CO3)CC3CO3)cc1)CC2,503.0380
Cc1ccc(N2C(=O)c3ccc(C(=O)Nc4cc(C(=O)O)cc(C(=O)O)c4)cc3C2=O)c(C)c1,N#Cc1cc(OCC2CO2)cc(C(=O)Nc2ncccc2OCC2CO2)c1,495.0963
O=C(O)CCn1c(=O)n(CCC(=O)O)c(=O)n(CC(=O)c2ccc3c(c2)OCO3)c1=O,O=C(Nc1ccc(C(=O)N(CC2CO2)CC2CO2)cc1)c1ccccc1O,470.6536
CC1(C(=O)O)CCN(C(=O)c2ccc(C(=O)O)nc2)CC1,O=C(Cn1c(=O)n(CC2CO2)c(=O)n(CC2CO2)c1=O)Nc1cccc(Oc2ccccc2)c1,481.8991
CC(C)(C)N1C(=O)c2ccc(C(=O)Nc3cc(C(=O)O)cc(C(=O)O)c3)cc2C1=O,Cc1cccc(NC(=O)c2cccc(C(=O)Nc3cccc(C)c3OCC3CO3)c2)c1OCC1CO1,459.4122
O=C(O)CCn1c(=O)n(CCC(=O)O)c(=O)n(CC(=O)Nc2ccc(N3CCCCC3)cc2)c1=O,Cc1nc(C(=O)N(C)C)ccc1C(=O)Nc1ccc(C(=O)N(CC2CO2)CC2CO2)cc1,490.4612
CC(C)(C)c1ccc(OCC(=O)Nc2cc(C(=O)O)cc(C(=O)O)c2)cc1,O=C(Cn1c(=O)n(CC2CO2)c(=O)n(CC2CO2)c1=O)Nc1cccc(C(=O)O)c1,473.1716
O=C(O)c1ccc2c(c1)C(=O)N(c1ccc(N3C(=O)c4ccc(C(=O)O)cc4C3=O)cc1)C2=O,CC(C)C(=O)NCCN(C)C(=O)Nc1ccc(C(=O)N(CC2CO2)CC2CO2)cc1,435.6758
Cc1ccc(NC(=O)c2cccc(C(=O)Nc3ccc(C)cc3C(=O)O)c2)c(C(=O)O)c1,NC(=O)c1cccc(C(=O)Nc2ccc(C(=O)N(CC3CO3)CC3CO3)cc2)c1,495.7942
