acid,epoxide,tg
O=C(O)CCCCNC1(C(=O)O)CCCC1,CCCN(C)CC(=O)Nc1ccc(C(=O)N(CC2CO2)CC2CO2)cc1,340.2887
O=C(O)CCN(CCC(=O)O)C(=O)CN1CCC=C(c2ccccc2)C1,COC(=O)c1cccc(NC(=O)NC(COCC2CO2)COCC2CO2)c1,342.0198
O=C(O)C1CCC(C(=O)O)CC1,CCN(CC)CCN(Cc1ccccc1)C(=O)c1ccc(OCC2CO2)cc1OCC1CO1,363.1609
O=C(Nc1ccc(C(=O)O)cc1)C(=O)N1CCCC1C(=O)O,CCc1cccc(Cn2c(=O)n(CC3CO3)c(=O)n(CC3CO3)c2=O)c1,457.4781
COc1ccc(OCC(=O)N(CCC(=O)O)CCC(=O)O)cc1OC,CC(C)Cc1cc(OCC2CO2)ccc1OCC1CO1,337.1267
CC(C)Nc1ccc(C(=O)Nc2ccc(COCC(=O)O)c(COCC(=O)O)c2)cn1,O=C(COc1ccccc1OCC1CO1)N1CCN(Cc2cccc(OCC3CO3)c2)CC1,368.9674
CC(C)(C)Nc1ccccc1NCC(=O)N(CCC(=O)O)CCC(=O)O,Cc1cccc(NC(=O)CN(CCCOCC2CO2)CCOCC2CO2)c1C,337.7143
O=C(O)CCC(CCC(=O)O)C(=O)NCCCNCC(=O)N1CCCCCCC1,CC(=O)c1cc(C(=O)NCCc2ccc(OCC3CO3)c(OCC3CO3)c2)ccc1OC(C)C,345.9716
O=C(O)COCCOCCOCCOCCOCCOCCOCCOCC(=O)O,O=C(NCCc1ccccc1)c1ccc(OCC2CO2)cc1OCC1CO1,275.1407
CC(C(=O)O)C(=O)NC(Cc1ccccc1)C(=O)O,O=C1CN(Cc2ccccc2OCC2CO2)C(=O)N1CCCc1ccc(OCC2CO2)cc1,391.6491
O=C(O)CCN(CCC(=O)O)C(=O)c1ccc(NC(=O)C(=O)NCC2(O)CCC2)cc1,Cc1ccc(CN2CCc3ccc(OCC4CO4)cc3CC2)c(OCC2CO2)c1,367.7754
CC(C)(C)c1ccc(CNC(=O)C(=O)N(CCC(=O)O)CCC(=O)O)cc1,COc1ccc(NC(=O)COc2ccc(COCC3CO3)cc2)cc1COCC1CO1,368.3239
Cc1cn(C)nc1C(=O)N(CCC(=O)O)CCC(=O)O,O=C(NCc1ccc(OCC2CO2)c(OCC2CO2)c1)C1CC(O)C1,371.584
CC(C)n1ccc(NC(=O)C(=O)Nc2ccc(C(=O)N(CCC(=O)O)CCC(=O)O)cc2)n1,O=C(c1cccc(OCC2CO2)c1OCC1CO1)N1CCC(CCCO)CC1,383.9158
O=C(O)CCN(CCC(=O)O)C(=O)Cc1coc2ccccc12,Cc1cccc(OCC2CO2)c1C(=O)N(C)Cc1cccc(OCC2CO2)c1,348.5706
O=C(NCC1(C(=O)O)CCOCC1)Nc1cccc(C(=O)O)c1,Cc1ccc(CN(CCO)C(=O)c2ccc3ccc(OCC4CO4)cc3c2OCC2CO2)cc1,403.4864
O=C(O)COCCCN(CCOCC(=O)O)Cc1ccccc1OCc1ccccn1,CCOc1ccc(NC(=O)c2ccc3ccc(OCC4CO4)cc3c2OCC2CO2)c(C(N)=O)c1,337.3798
CC(C)(NC(=O)NCCC(=O)O)C(=O)NCC1CCN(CCC(=O)O)CC1,COc1cccc(NC(=O)c2cc(C(C)C)c(OCC3CO3)cc2C)c1OCC1CO1,423.516
COC(=O)c1ccccc1OCCN(CCC(=O)O)CCC(=O)O,COC(=O)c1ccccc1NC(=O)COC(=O)c1cc(OCC2CO2)ccc1OCC1CO1,350.4677
CCNCc1cccc(NC(=O)N(CCC(=O)O)CCC(=O)O)c1,c1c2c(cc(OCC3CO3)c1OCC1CO1)OCCO2,341.3381
Cn1nc(CNc2ccc(C(=O)N(CCC(=O)O)CCC(=O)O)cc2)c2ccccc21,Cc1cc(OCC2CO2)c(C(C)C)cc1C(=O)N(C)Cc1ccc(OCC2CO2)cc1,404.4457
CCCOc1cccc(CN2CCC(C(=O)O)(C(=O)O)CC2)c1,COc1cc(CNC(=O)c2cc(OCC3CO3)ncn2)ccc1OCC1CO1,364.1032
O=C(O)COCc1ccc(NC(=O)c2cccnc2)cc1COCC(=O)O,O=C(COCC1CO1)OCCCCOCC1CO1,340.6087
NC(CCC(=O)NCC(=O)NCC(=O)O)C(=O)O,Nc1ccc(N(CC2CO2)CC2CO2)cc1,387.0035
Cc1cc(C(=O)N2CCN(CC(=O)N(CCC(=O)O)CCC(=O)O)CC2)cnn1,O=C(CN(CC1CO1)CC1CO1)Nc1ccc2c(c1)OCCCO2,387.1498
CCCCCOc1ccc(C(=O)N(CCC(=O)O)CCC(=O)O)cc1,Cn1c(=O)n(CC(=O)OCC(=O)N(CC2CO2)CC2CO2)c2ccccc21,379.5004
CN(C)CCCC(C)(C)NC(=O)C(CCC(=O)O)CCC(=O)O,NC(=O)C1CCN(Cc2ccc(CNC(=O)N(CC3CO3)CC3CO3)cc2)CC1,375.3501
O=C(O)CCCCCNc1ncc(C(=O)O)cn1,CCCNC(=O)CCNC(=O)c1ccc(C)c(OCC2CO2)c1OCC1CO1,370.0095
Cc1onc(COCC(=O)O)c1C(=O)Nc1cccc(CCOCC(=O)O)c1,O=C(Nc1cccc(CN2CCCC2)c1)c1cccc(OCC2CO2)c1OCC1CO1,408.6843
O=C(O)CC1(CC(=O)NCc2ccc(C(=O)O)cc2)CCCCC1,Cc1cccc(N(CCC(N)=O)C(=O)c2ccc(OCC3CO3)cc2OCC2CO2)c1,403.8438
O=C(O)CCCC(=O)N(CCC(=O)O)c1ccccc1,O=C(CCC1CO1)NCCNCCCC1CO1,334.0741
O=C(O)CCN(CCC(=O)O)C(=O)C(=O)N1CCN(C(=O)N2CCCC2)CC1,O=C(NCCc1ccc(OCC2CO2)c(OCC2CO2)c1)C(O)(c1ccccc1)c1ccccc1,383.795
O=C(O)COCCCN(CCOCC(=O)O)C(=O)Nc1cccn(Cc2ccccc2)c1=O,O=C(Nc1ccc(OCCN2C(=O)c3ccccc3C2=O)cc1)N(CC1CO1)CC1CO1,398.0004
CCn1ncc(C(=O)Nc2cc(COCC(=O)O)cc(COCC(=O)O)c2)c1C,COc1ccc(C(=O)NC(C(=O)N(CC2CO2)CC2CO2)c2ccccc2)cc1,408.4284
O=C(O)CCCCCNC(=O)C(=O)Nc1ccccc1C(=O)O,COc1ccc(CNC(=O)N(CC2CO2)CC2CO2)cc1OC,388.3336
O=C(O)COCCCc1cccc(NC(=O)c2ccc(COCC(=O)O)cc2)c1,O=C(OCCCCCCCCCOC(=O)C1CO1)C1CO1,355.3853
NC1CC(NC(=O)C(CCC(=O)O)CCC(=O)O)C1,Cc1ccc(C(=O)NC(C)CCc2ccc(OCC3CO3)cc2)cc1OCC1CO1,373.2666
CCCc1ccc(NC(=O)N(CCCOCC(=O)O)CCOCC(=O)O)cc1,O=Cc1c(OCC2CO2)ccc2ccc(OCC3CO3)cc12,361.4356
CCNC(=O)CN1CCN(CC(=O)N(CCC(=O)O)CCC(=O)O)CC1,c1ccc2c(CCOCC3CO3)ccc(CCOCC3CO3)c2c1,304.0234
